Date,NDeaths,NPositive
2021-02-17,47507,3416147
2021-02-16,47107,3412057
2021-02-15,47043,3406365
2021-02-14,46843,3399878
2021-02-13,46435,3391036
2021-02-12,46002,3381615
2021-02-11,45456,3371556
2021-02-10,44995,3362981
2021-02-09,44477,3354591
2021-02-08,44150,3346340
2021-02-07,43942,3335926
2021-02-06,43647,3320862
2021-02-05,43024,3308468
2021-02-04,42466,3294447
2021-02-03,41811,3281271
2021-02-02,41330,3270770
2021-02-01,40908,3258706
2021-01-31,40697,3243348
2021-01-30,40216,3224374
2021-01-29,39578,3205947
2021-01-28,38961,3186610
2021-01-27,38224,3169914
2021-01-26,37527,3153186
2021-01-25,37118,3136158
2021-01-24,36790,3109151
2021-01-23,36361,3085040
2021-01-22,35768,3062068
2021-01-21,35004,3039044
2021-01-20,34433,3019371
2021-01-19,33739,2996968
2021-01-18,33593,2973174
2021-01-17,33392,2942475
2021-01-16,32960,2900246
2021-01-15,32291,2859624
2021-01-14,31654,2816969
2021-01-13,31102,2781039
2021-01-12,30513,2747288
2021-01-11,29965,2710801
2021-01-10,29701,2670962
2021-01-09,29233,2621277
2021-01-08,28538,2568641
2021-01-07,28045,2518611
2021-01-06,27462,2482226
2021-01-05,27003,2452334
2021-01-04,26635,2420894
2021-01-03,26538,2391261
2021-01-02,26357,2345909
2021-01-01,25971,2292568
2020-12-31,25386,2245379
2020-12-30,24958,2218142
2020-12-29,24526,2187221
2020-12-28,24284,2155976
2020-12-27,24220,2122806
2020-12-26,23983,2072665
2020-12-25,23947,2042290
2020-12-24,23635,2003146
2020-12-23,23284,1964076
2020-12-22,22923,1925007
2020-12-21,22676,1892348
2020-12-20,22593,1854456
2020-12-19,22432,1807982
2020-12-18,22160,1764374
2020-12-17,21860,1723362
2020-12-16,21481,1671081
2020-12-15,21188,1617370
2020-12-14,21046,1585044
2020-12-13,20969,1551766
2020-12-12,20847,1521432
2020-12-11,20622,1485703
2020-12-10,20463,1450235
2020-12-09,20243,1420558
2020-12-08,20047,1389707
2020-12-07,19935,1366435
2020-12-06,19876,1341700
2020-12-05,19791,1311625
2020-12-04,19582,1286557
2020-12-03,19437,1264539
2020-12-02,19324,1245948
2020-12-01,19211,1225189
2020-11-30,19141,1212968
